City,Region,tif_count,Latitude,Longitude,Brightness
Asti,EUROPE,41.00003279,44.90894309,8.209756101,1.709416611
Astoria,NORTH AMERICA,15.000012,46.18833333,-123.8372222,0.416561497
Astrakhan,EUROPE,237.0001896,46.35488748,48.01754571,1.852932476
Asuncion,SOUTH AMERICA,840.000672,-25.31444445,-57.50554563,3.631552378
Aswan,AFRICA,73.00005839,24.09006849,32.88732877,4.141887376
Asyut,AFRICA,801.0006409,27.44994798,30.94508947,1.656307939
At Bashy,ASIA,27.0000216,41.16574074,75.80555556,0.020159885
At Taif,ASIA,105.000084,21.29277778,40.41888889,4.096583961
Atakpame,AFRICA,29.0000232,7.53505747,1.117528739,0.04342285
Atamyrat,ASIA,27.0000216,37.82716049,65.19722223,0.674811424
Atar,AFRICA,11.0000088,20.52121212,-13.05530303,0.100523558
Atasu,ASIA,25.00002,48.68633333,71.64266667,0.125217253
Atbara,AFRICA,38.0000304,17.71754386,33.98618421,0.250289311
Atbasar,ASIA,36.0000288,51.81550926,68.3488426,0.37140705
Athabasca,NORTH AMERICA,4.000003203,54.725,-113.2875,0.544848385
Athens1,NORTH AMERICA,186.0001488,33.94144265,-83.39816308,1.515604226
Athens2,EUROPE,752.0006016,38.03231383,23.7249446,5.568820887
Atherton,AUSTRALIA,8.000006399,-17.2625,145.4739583,0.070094872
Ati,AFRICA,4.000003201,13.21875,18.33333334,4.94E-05
Atikokan,NORTH AMERICA,16.0000128,48.7671875,-91.61927083,0.349009253
Atkarsk,EUROPE,21.0000168,51.8797619,44.9968254,0.31934675
Atlanta,NORTH AMERICA,5733.004586,33.86637595,-84.3521353,3.128692785
Atlantic City,NORTH AMERICA,44.0000352,39.35833333,-74.46496212,5.026747925
Atlixco,NORTH AMERICA,36.0000288,18.91712963,-98.43773148,0.585394733
Atoyac,NORTH AMERICA,9.000007202,17.21851852,-100.437963,0.307062852
Atyrau,ASIA,87.0000696,47.10354406,51.90775862,2.513064233
Auburn,NORTH AMERICA,114.0000912,32.6253655,-85.43969298,2.044506158
Auckland,POLYNESIA,585.000468,-36.91858975,174.7917949,1.844910722
Augsburg,EUROPE,268.0002144,48.37282338,10.88650498,0.787013975
Augusta1,NORTH AMERICA,451.0003608,33.47030672,-82.05685513,2.959899474
Augusta2,NORTH AMERICA,41.0000328,44.3203252,-69.78739837,0.893421702
Aurangabad1,ASIA,2514.307512,24.74687259,84.39530506,0.066524561
Aurangabad2,ASIA,446.0003568,19.8759716,75.29893498,0.564749414
Aurora1,NORTH AMERICA,540.2433429,39.66369108,-104.8351156,2.764950587
Aurora2,NORTH AMERICA,2116.855175,41.84433854,-88.19993022,3.565156098
Austin,NORTH AMERICA,1044.000835,30.36375319,-97.7548212,3.129716692
Autlan,NORTH AMERICA,17.0000136,19.77598039,-104.370098,0.246663514
Auxerre,EUROPE,52.0000416,47.82035256,3.562500003,1.218114152
