City,Region,tif_count_2000,tif_count_2021,Latitude,Longitude,2000 Population,2021 Population,Population Change
Amarillo,NORTH AMERICA,204,204,35.19677288,-101.8606618,168707.9999,174989,6281.000014
Amasya,ASIA,24,24,40.66111111,35.82291667,67901.99991,45394.99994,-22506.99997
Ambala,ASIA,2711.7969,2711.7969,30.29572887,76.9180231,1112524.643,1801944.407,689419.7638
Ambanja,AFRICA,6.000000001,6.000000001,-13.6625,48.44861111,2249.999985,26067.99986,23817.99988
Ambato,SOUTH AMERICA,139.7942212,139.7942212,-1.248849739,-78.6041167,216463.5517,281769.2038,65305.65215
Ambatondrazaka,AFRICA,12,12,-17.82291667,48.41527778,1761.999992,72775.99974,71013.99975
Ambon,MELANESIA,35,35.99999999,-3.679929577,128.1892019,265614.9999,176195.9997,-89419.00025
Amderma,EUROPE,1,1,69.76666667,61.65833333,71.99999933,91.99999967,20.00000035
Americana,SOUTH AMERICA,382.9709453,382.9709453,-22.77416456,-47.32811955,293728.9729,647317.6151,353588.6422
Ames,NORTH AMERICA,62,62,42.02983871,-93.64596774,45781.99997,63454.99995,17672.99998
Amherst,NORTH AMERICA,16,16,45.83072917,-64.21197917,9720.999976,9969.999984,249.0000084
Amiens,EUROPE,126,126,49.89398148,2.296560847,181470.9998,85868.99993,-95601.99991
Amman,ASIA,748,748,31.96193182,35.93147282,2541242.999,5214365.999,2673122.999
Ammochostos,ASIA,33,33,35.12929293,33.92045455,10697.99998,38429.99992,27731.99993
Amol,ASIA,112,112,36.47782738,52.34933036,265791.9998,242068.9998,-23722.99997
Amos,NORTH AMERICA,18,18,48.58009259,-78.11898148,6199.999994,10348.99998,4148.999988
Amravati,ASIA,183,183,20.93278689,77.74899818,637742.9999,733723.9997,95980.99985
Amritsar,ASIA,29322.12817,29322.12817,31.54294583,75.41465001,20563960.22,24077290.67,3513330.451
Amsterdam,EUROPE,568.9999999,569,52.3559754,4.863429994,1067589.999,1160105.999,92515.99996
Amursk,ASIA,23,23,50.23695652,136.8942029,64688.99995,27018.99996,-37669.99999
An Najaf,ASIA,176,176,32.01780303,44.37954545,591775.9999,732203.9998,140427.9999
An Nasiriyah,ASIA,70,70,31.05666667,46.24630952,288948.9998,394232.9995,105283.9997
Anaco,SOUTH AMERICA,51,51,9.438235294,-64.46846405,56994.99994,109518.9999,52523.99999
Anapolis,SOUTH AMERICA,131,131,-16.33008906,-48.95184478,237523.9999,328866.9998,91342.99989
Anatuya,SOUTH AMERICA,14,14,-28.45357143,-62.83809524,3720.999988,14769.99998,11048.99999
Anbyon,ASIA,7,7,39.04880952,127.5178571,24066.99993,13318.99996,-10747.99997
Anchorage,NORTH AMERICA,402,402,61.17327944,-149.8504353,198805.9999,243508.9999,44702.99995
Ancona,EUROPE,89.00000002,90.00000001,43.54962756,13.51298883,104215,118088.9998,13873.99985
Ancud,SOUTH AMERICA,17,16.99999999,-41.87598039,-73.81519608,832.9999995,19723.99998,18890.99998
Anda,ASIA,138,138,46.43218599,125.2589372,192999.9999,355492.9998,162492.9999
Anderson,NORTH AMERICA,125,125,34.52346667,-82.66973333,50261.99998,60859.99997,10597.99999
Andijon,ASIA,1072,1072,40.73714241,72.21291978,1189537.999,1517171.998,327633.9994
Andkhvoy,ASIA,60.00000001,60.00000001,36.93472222,65.09666667,64322.99981,107949.9997,43626.99992
Andoany,AFRICA,9.999999992,9.999999992,-13.39166667,48.26333333,708.9999988,31190.99998,30481.99998
Andong,ASIA,41,41,36.57052846,128.7245935,127535.9998,102155.9999,-25379.99988
Andorra,EUROPE,36.99999999,36.99999999,42.5222973,1.531306306,48708.99992,56092.99988,7383.999959
Andradina,SOUTH AMERICA,35,35,-20.89761905,-51.38071429,72334.99999,53035.99998,-19299.00001
Androka,AFRICA,1.000000002,1.000000002,-25.025,44.075,7.000000841,1.56E-07,-7.000000685
Angangxi,ASIA,26.99999999,26.99999999,47.16080247,123.8117284,20228.99996,27576.99994,7347.999988
Angarsk,ASIA,181,181,52.5575046,103.8908379,272851.9999,180623.9999,-92227.99999
Angeles,MALAY ARCHIPELAGO,1607.477916,1607.477916,15.05884785,120.6617817,2039202.148,3124581.052,1085378.904
Angers,EUROPE,224,224,47.46595982,-0.552008929,235021.9999,165559.9999,-69462.00004
Angoche,AFRICA,27.99999997,27.99999997,-16.1985119,39.92321429,1921.999996,114147.9996,112225.9996
Angol,SOUTH AMERICA,21.99999999,21.99999999,-37.80113636,-72.7030303,12783.99999,35908.99996,23124.99997
Angra do Heroismo,EUROPE,5.999999995,5.999999995,38.6625,-27.225,666.9999986,9790.999971,9123.999973
Angren,ASIA,112,112,41.01837798,70.08497024,202334.9998,197882.9998,-4451.999913
Ankang,ASIA,828,828,32.7889996,108.7868961,823823.9998,812263.9997,-11560.00019
Ankara,ASIA,810,810,39.96205761,32.74927984,2995232,4307277.999,1312045.999
Anlu,ASIA,1212.91555,1212.91555,31.24141488,113.6847768,659364.4532,707023.379,47658.92586
Ann Arbor,NORTH AMERICA,328,328,42.25160061,-83.68958333,218598.9999,292361.9999,73762.99995
Anna Regina,SOUTH AMERICA,6.000000004,6.000000004,7.270833333,-58.48611111,656.9999985,4560.999991,3903.999993
Annaba,AFRICA,165,166,36.85040282,7.74224572,624638.9995,635011.9996,10373.00015
Annapolis,NORTH AMERICA,89.99999998,94,38.97875906,-76.52776268,63600.99997,89903.99995,26302.99998
Annecy,EUROPE,132,132,45.92556818,6.100063131,219370.9999,116646.9999,-102724
Anqing,ASIA,177,177,30.5606403,117.0360169,481404.9998,560999.9998,79595.00001
Ansan,ASIA,497.1854508,525.9219282,37.38918384,126.8457483,2428124.614,3139357.912,711233.2979
Anshan,ASIA,1428.052935,1428.052935,41.20761412,123.0334916,2903989.333,2668092.278,-235897.0546
Anshun,ASIA,884,884,26.23429487,105.7977847,827298.9995,859397.9992,32098.99977
Antalaha,AFRICA,8.000000011,8.000000011,-14.9,50.27395833,806.9999975,42015.9998,41208.99981
Antalya,ASIA,286,286,36.90463287,30.71051865,575967,619870.9998,43903.99979
Antananarivo,AFRICA,864,864,-18.87130594,47.47254051,1352556,2817060.999,1464504.999
Antigonish,NORTH AMERICA,16,16,45.62291667,-61.996875,4054.99999,5901.99999,1847.000001
Antofagasta,SOUTH AMERICA,61.99999997,61.99999996,-23.62325269,-70.39758065,170430,352066.9998,181636.9998
Antsirabe,AFRICA,354,354,-19.86640772,47.1461629,193086.9999,358737.9999,165651
Antsiranana,AFRICA,24.99999999,24.99999999,-12.29566667,49.288,60458.99994,137660.9997,77201.9998
Antsohihy,AFRICA,4,4,-14.875,47.98541667,1116.000001,14854.99995,13738.99995
Antwerpen,EUROPE,1362.173988,1365.173988,51.14643262,4.530074077,1092437.363,1232864.017,140426.6534
Anuradhapura,ASIA,131,131,8.324300254,80.41221374,103114.9998,110424.9999,7310.000058
Anxi,ASIA,16,16,40.52604167,95.778125,3580.999999,32838.99998,29257.99999
Anyang,ASIA,2525.694958,2525.694958,36.12551164,114.453169,2138773.825,2479475.236,340701.4114
Anzhero Sudzhensk,ASIA,101,101,56.08985149,86.0269802,108161.9999,66474.99995,-41686.99992
Aomori,ASIA,147,147,40.83407029,140.7349773,298277.9996,241869.9998,-56407.99982
Apalachicola,NORTH AMERICA,5.999999991,6.000000001,29.72916667,-85,2900.999992,2310.999996,-589.9999957
Apatity,EUROPE,68,68,67.58370098,33.40220588,92397.99997,41149.00001,-51248.99996
Apatzingan,NORTH AMERICA,27,27,19.09444444,-102.3583333,89588.99996,88089.99996,-1498.999999
Apia,POLYNESIA,47.00000001,47.00000001,-13.83368794,-171.7852837,57703.99992,50292.99998,-7410.999938
Apodi,SOUTH AMERICA,0.999999999,0.999999999,-5.658333333,-37.8,492.9999961,8660.99995,8167.999953
Apolo,SOUTH AMERICA,4,4,-14.7125,-68.42083333,36.00000008,4835.99999,4799.99999
Appleton,NORTH AMERICA,311.8951695,311.8951695,44.25424771,-88.41093037,179205.2752,209643.9003,30438.62511
Apsheronsk,EUROPE,43,43,44.46143411,39.72344961,41741.99996,36711.99995,-5030.000009
Apucarana,SOUTH AMERICA,55,55,-23.54272727,-51.45545455,54986,112005.9999,57019.99995
Aqadyr,ASIA,5,5,48.27,72.86,1017.999997,2317.999999,1300.000002
Aqsay,ASIA,17,17,51.1745098,52.99460784,25705.99995,22548.99996,-3156.999994
Aqtau,ASIA,7,7,43.63571429,51.23452381,4652.999987,8405.999979,3752.999993
Aqtobe,ASIA,96,96,50.29444444,57.18559028,211425.9999,391174,179748.0001
Aquidauana,SOUTH AMERICA,42,42,-20.46686508,-55.79325397,10696,55902.99996,45206.99996
Ar Ramadi,ASIA,72,72,33.43310185,43.29282407,199684.9999,243038.9998,43353.99999
Ar Raqqah,ASIA,55,55,35.95636364,39.00924242,267841.9997,192290.9998,-75550.99992
Ar Rutbah,ASIA,10,10,33.04166667,40.27916667,2031.999997,32831.99994,30799.99995
Aracaju,SOUTH AMERICA,243,243,-10.89883402,-37.10967078,561457.9998,843291.9997,281834
Aracati,SOUTH AMERICA,6,6,-4.558333333,-37.77083333,18796.99997,29897.99995,11100.99998
Aracatuba,SOUTH AMERICA,79,79,-21.2021097,-50.44694093,160034,181562,21527.99997
Aracuai,SOUTH AMERICA,13,13,-16.85192308,-42.06858974,15125.99998,22186.99996,7060.999981
Arad,EUROPE,86.00000001,86.00000001,46.18391473,21.3119186,172654.9999,116306.9999,-56347.99997
Araguaina,SOUTH AMERICA,17,17,-7.183333333,-48.20931373,8604.999989,101710.9999,93105.99993
Araguari,SOUTH AMERICA,49.99999999,49.99999999,-18.64466667,-48.19383333,99056.99993,106162,7105.000031
Arak,ASIA,92.99999998,92.99999998,34.08960573,49.68862007,429918.9999,466334.9998,36415.99982
Aral,ASIA,23,23,46.80543478,61.6576087,40364.99994,46480.99994,6116
Aranyaprathet,ASIA,11,11,13.69469697,102.4977273,37417.99971,21604.99987,-15812.99984
Arapiraca,SOUTH AMERICA,22,22,-9.738257576,-36.67121212,206358.9998,155647.9999,-50710.99987
