City,Region,tif_count,Latitude,Longitude,bio_1.tif,bio_10.tif,bio_11.tif,bio_12.tif,bio_13.tif,bio_14.tif,bio_15.tif,bio_16.tif,bio_17.tif,bio_18.tif,bio_19.tif,bio_2.tif,bio_3.tif,bio_4.tif,bio_5.tif,bio_6.tif,bio_7.tif,bio_8.tif,bio_9.tif
Aizawl,ASIA,0.500000004,23.74508361,92.66658268,194.0820467,225.1433788,134.2007034,3068.757955,615.6646724,17.82199177,84.87466092,1611.461473,76.51794301,1431.143337,76.51794301,86,37.99999438,4003.216335,279.4387056,53.20070905,225.3000005,221.1427125,134.2007034
Ajaccio,EUROPE,0.620000005,41.9785351,8.710971954,157.446706,225.235951,97.44670598,758.9545416,119.764572,11.35753445,51.43467304,308.8235697,53.99842728,77.66834539,255.9787102,43.06667835,22.53333918,5316.201527,262.3026293,73.16927261,189.1333567,138.8493912,222.9800452
Ajdabiya,AFRICA,0.220000002,30.81450797,20.16665397,214.222708,282.2257558,138.9954283,145.872745,43.77424422,0,118,104.0969769,0,0,101.3242566,106.2303274,41,5980.371802,347.4530354,89.76814867,257.6848868,154.9969522,281.2242319
Ajmer,ASIA,2.070000017,26.50200817,74.62237852,240.0675685,304.9091993,149.8493693,424.4791484,153.1857322,0,155.60298,369.9023617,3.397433353,186.0706434,8.20500449,130.3665814,41,6350.834794,376.4990616,61.92698546,314.1227969,286.4599201,162.9269855
Aketi,AFRICA,0.170000001,2.759992332,23.7498603,231,237,225.1215791,1486.452656,199.7963193,30.3647373,45,536.6868506,114.215791,193.3100029,441.957376,61,72,458.7294746,277.1215791,193,84,228,235
Akhtubinsk,EUROPE,0.320000003,48.32290795,46.12781386,88.58798748,245.1234313,-68.41201252,291.885491,36.87656872,15,23,94.78334908,56.34112492,86.78334908,67.87656872,97,21,12733.28311,321.5879875,-125.4120125,447.9697884,221.1234313,-47.31879288
Akita,ASIA,1.510000012,39.77154072,140.0524552,112.7959878,222.4071506,8.708225951,1732.152679,188.6831012,88.17531112,21.96059726,538.5763631,311.9561798,538.2413845,367.0657234,54.91318919,18.56302828,8731.229105,269.9907172,-25.04134742,295.8740111,219.5682701,11.86539375
Akola,ASIA,2.150000017,20.74416336,76.94960264,271.5032562,327.9555904,218.3910839,775.7087,221.8086384,1.400469212,120.4837213,541.4531011,15.96892563,135.0741661,26.60226274,119.4225504,42.00488446,4319.737482,416.2066734,135.0012449,280.8145756,273.5032562,316.5463104
Akron,NORTH AMERICA,8.48708539,41.14379687,-81.53553412,94.73512644,208.0617399,-21.04698591,992.9936291,106.3815557,54.77169165,17.87255112,301.6380919,194.26001,295.4457086,194.283139,80.96638737,24.48059771,9455.581186,265.1480943,-60.66253382,326.2763646,183.1371164,-20.3622047
Aksu,ASIA,0.800000006,41.21046895,80.22498251,89.41809903,220.5645416,-55.22876959,92.81521671,23.16270251,0,92.16270251,56.1243618,0,55.78749035,0,110.3368715,25,11218.75878,285.0649677,-144.2287696,429.6306087,197.379511,-46.79196443
